dataset,method,k,selected_features,features_with_previous_evidence,evidence_coverage
breast_cancer_wisconsin,f_classif,3,3,0,0.0
breast_cancer_wisconsin,f_classif,5,5,0,0.0
breast_cancer_wisconsin,f_classif,10,10,0,0.0
breast_cancer_wisconsin,f_classif,15,15,0,0.0
breast_cancer_wisconsin,f_classif,20,20,0,0.0
breast_cancer_wisconsin,f_classif,30,30,0,0.0
breast_cancer_wisconsin,l1_logistic,3,3,0,0.0
breast_cancer_wisconsin,l1_logistic,5,5,0,0.0
breast_cancer_wisconsin,l1_logistic,10,10,0,0.0
breast_cancer_wisconsin,l1_logistic,15,15,0,0.0
breast_cancer_wisconsin,l1_logistic,20,20,0,0.0
breast_cancer_wisconsin,l1_logistic,30,30,0,0.0
breast_cancer_wisconsin,linear_svm,3,3,0,0.0
breast_cancer_wisconsin,linear_svm,5,5,0,0.0
breast_cancer_wisconsin,linear_svm,10,10,0,0.0
breast_cancer_wisconsin,linear_svm,15,15,0,0.0
breast_cancer_wisconsin,linear_svm,20,20,0,0.0
breast_cancer_wisconsin,linear_svm,30,30,0,0.0
breast_cancer_wisconsin,mrmr_approx,3,3,0,0.0
breast_cancer_wisconsin,mrmr_approx,5,5,0,0.0
breast_cancer_wisconsin,mrmr_approx,10,10,0,0.0
breast_cancer_wisconsin,mrmr_approx,15,15,0,0.0
breast_cancer_wisconsin,mrmr_approx,20,20,0,0.0
breast_cancer_wisconsin,mrmr_approx,30,30,0,0.0
breast_cancer_wisconsin,mutual_info,3,3,0,0.0
breast_cancer_wisconsin,mutual_info,5,5,0,0.0
breast_cancer_wisconsin,mutual_info,10,10,0,0.0
breast_cancer_wisconsin,mutual_info,15,15,0,0.0
breast_cancer_wisconsin,mutual_info,20,20,0,0.0
breast_cancer_wisconsin,mutual_info,30,30,0,0.0
breast_cancer_wisconsin,random_forest,3,3,0,0.0
breast_cancer_wisconsin,random_forest,5,5,0,0.0
breast_cancer_wisconsin,random_forest,10,10,0,0.0
breast_cancer_wisconsin,random_forest,15,15,0,0.0
breast_cancer_wisconsin,random_forest,20,20,0,0.0
breast_cancer_wisconsin,random_forest,30,30,0,0.0
breast_cancer_wisconsin,variance,3,3,0,0.0
breast_cancer_wisconsin,variance,5,5,0,0.0
breast_cancer_wisconsin,variance,10,10,0,0.0
breast_cancer_wisconsin,variance,15,15,0,0.0
breast_cancer_wisconsin,variance,20,20,0,0.0
breast_cancer_wisconsin,variance,30,30,0,0.0
customer_churn,f_classif,1,1,0,0.0
customer_churn,f_classif,4,4,0,0.0
customer_churn,f_classif,5,5,5,1.0
customer_churn,f_classif,10,10,11,1.1
customer_churn,f_classif,15,15,15,1.0
customer_churn,l1_logistic,1,1,0,0.0
customer_churn,l1_logistic,4,4,0,0.0
customer_churn,l1_logistic,5,5,3,0.6
customer_churn,l1_logistic,10,10,15,1.5
customer_churn,l1_logistic,15,15,15,1.0
customer_churn,linear_svm,1,1,0,0.0
customer_churn,linear_svm,4,4,0,0.0
customer_churn,linear_svm,5,5,0,0.0
customer_churn,linear_svm,10,10,8,0.8
customer_churn,linear_svm,15,15,15,1.0
customer_churn,mrmr_approx,1,1,0,0.0
customer_churn,mrmr_approx,4,4,5,1.25
customer_churn,mrmr_approx,5,5,5,1.0
customer_churn,mrmr_approx,10,10,12,1.2
customer_churn,mrmr_approx,15,15,15,1.0
customer_churn,mutual_info,1,1,0,0.0
customer_churn,mutual_info,4,4,0,0.0
customer_churn,mutual_info,5,5,5,1.0
customer_churn,mutual_info,10,10,11,1.1
customer_churn,mutual_info,15,15,15,1.0
customer_churn,random_forest,1,1,0,0.0
customer_churn,random_forest,4,4,5,1.25
customer_churn,random_forest,5,5,5,1.0
customer_churn,random_forest,10,10,11,1.1
customer_churn,random_forest,15,15,15,1.0
customer_churn,variance,1,1,4,4.0
customer_churn,variance,4,4,4,1.0
customer_churn,variance,5,5,9,1.8
customer_churn,variance,10,10,15,1.5
customer_churn,variance,15,15,15,1.0
madelon,f_classif,5,5,0,0.0
madelon,f_classif,10,10,0,0.0
madelon,f_classif,15,15,0,0.0
madelon,f_classif,20,20,0,0.0
madelon,f_classif,22,22,0,0.0
madelon,f_classif,30,30,0,0.0
madelon,f_classif,50,50,0,0.0
madelon,l1_logistic,5,5,0,0.0
madelon,l1_logistic,10,10,0,0.0
madelon,l1_logistic,15,15,0,0.0
madelon,l1_logistic,20,20,0,0.0
madelon,l1_logistic,22,22,0,0.0
madelon,l1_logistic,30,30,0,0.0
madelon,l1_logistic,50,50,0,0.0
madelon,linear_svm,5,5,0,0.0
madelon,linear_svm,10,10,0,0.0
madelon,linear_svm,15,15,0,0.0
madelon,linear_svm,20,20,0,0.0
madelon,linear_svm,22,22,0,0.0
madelon,linear_svm,30,30,0,0.0
madelon,linear_svm,50,50,0,0.0
madelon,mrmr_approx,5,5,0,0.0
madelon,mrmr_approx,10,10,0,0.0
madelon,mrmr_approx,15,15,0,0.0
madelon,mrmr_approx,20,20,0,0.0
madelon,mrmr_approx,22,22,0,0.0
madelon,mrmr_approx,30,30,0,0.0
madelon,mrmr_approx,50,50,0,0.0
madelon,mutual_info,5,5,0,0.0
madelon,mutual_info,10,10,0,0.0
madelon,mutual_info,15,15,0,0.0
madelon,mutual_info,20,20,0,0.0
madelon,mutual_info,22,22,0,0.0
madelon,mutual_info,30,30,0,0.0
madelon,mutual_info,50,50,0,0.0
madelon,random_forest,5,5,0,0.0
madelon,random_forest,10,10,0,0.0
madelon,random_forest,15,15,0,0.0
madelon,random_forest,20,20,0,0.0
madelon,random_forest,22,22,0,0.0
madelon,random_forest,30,30,0,0.0
madelon,random_forest,50,50,0,0.0
madelon,variance,5,5,0,0.0
madelon,variance,10,10,0,0.0
madelon,variance,15,15,0,0.0
madelon,variance,20,20,0,0.0
madelon,variance,22,22,0,0.0
madelon,variance,30,30,0,0.0
madelon,variance,50,50,0,0.0
olive_oil_3class,f_classif,3,3,5,1.6666666666666667
olive_oil_3class,f_classif,5,5,8,1.6
olive_oil_3class,f_classif,8,8,12,1.5
olive_oil_3class,l1_logistic,3,3,5,1.6666666666666667
olive_oil_3class,l1_logistic,5,5,9,1.8
olive_oil_3class,l1_logistic,8,8,12,1.5
olive_oil_3class,linear_svm,3,3,5,1.6666666666666667
olive_oil_3class,linear_svm,5,5,8,1.6
olive_oil_3class,linear_svm,8,8,12,1.5
olive_oil_3class,mrmr_approx,3,3,5,1.6666666666666667
olive_oil_3class,mrmr_approx,5,5,8,1.6
olive_oil_3class,mrmr_approx,8,8,12,1.5
olive_oil_3class,mutual_info,3,3,5,1.6666666666666667
olive_oil_3class,mutual_info,5,5,8,1.6
olive_oil_3class,mutual_info,8,8,12,1.5
olive_oil_3class,random_forest,3,3,4,1.3333333333333333
olive_oil_3class,random_forest,5,5,8,1.6
olive_oil_3class,random_forest,8,8,12,1.5
olive_oil_3class,variance,3,3,5,1.6666666666666667
olive_oil_3class,variance,5,5,7,1.4
olive_oil_3class,variance,8,8,12,1.5
olive_oil_9class,f_classif,3,3,4,1.3333333333333333
olive_oil_9class,f_classif,5,5,6,1.2
olive_oil_9class,f_classif,8,8,12,1.5
olive_oil_9class,l1_logistic,3,3,4,1.3333333333333333
olive_oil_9class,l1_logistic,5,5,7,1.4
olive_oil_9class,l1_logistic,8,8,12,1.5
olive_oil_9class,linear_svm,3,3,4,1.3333333333333333
olive_oil_9class,linear_svm,5,5,8,1.6
olive_oil_9class,linear_svm,8,8,12,1.5
olive_oil_9class,mrmr_approx,3,3,5,1.6666666666666667
olive_oil_9class,mrmr_approx,5,5,8,1.6
olive_oil_9class,mrmr_approx,8,8,12,1.5
olive_oil_9class,mutual_info,3,3,4,1.3333333333333333
olive_oil_9class,mutual_info,5,5,6,1.2
olive_oil_9class,mutual_info,8,8,12,1.5
olive_oil_9class,random_forest,3,3,4,1.3333333333333333
olive_oil_9class,random_forest,5,5,6,1.2
olive_oil_9class,random_forest,8,8,12,1.5
olive_oil_9class,variance,3,3,4,1.3333333333333333
olive_oil_9class,variance,5,5,8,1.6
olive_oil_9class,variance,8,8,12,1.5
